company,leader_name,family_name,sources
Godrej Industries,Nadir Godrej,Godrej,
Marico Limited,Harsh Mariwala,Mariwala,
Reliance Industries,Mukesh Ambani,Ambani,
Wipro Limited,Rishad Premji,Premji,
Bajaj Auto,Rajiv Bajaj,Bajaj,
Mahindra & Mahindra,Anand Mahindra,Mahindra,
Hero MotoCorp,Pawan Munjal,Munjal,
DLF Limited,Rajiv Singh,Singh,
Dabur India,Mohit Burman,Burman,
Emami Limited,Manish Goenka,Agarwal,
Havells India,Anil Rai Gupta,Gupta,
TVS Motor Company,Venu Srinivasan,Srinivasan,
Apollo Hospitals,Preetha Reddy,Reddy,
Piramal Enterprises,Ajay Piramal,Piramal,
Raymond Limited,Gautam Singhania,Singhania,
